backend,T_K,dIW_in,dIW_recovered,residual_dex
calliope,1500.0,-2.0,-2.0000000003517058,-3.5170577561416394e-10
calliope,1500.0,0.0,-3.509594360085853e-10,-3.509594360085853e-10
calliope,1500.0,2.0,2.000000361268213,3.6126821312265633e-07
calliope,1500.0,4.0,3.9999999003585214,-9.964147862362438e-08
calliope,2000.0,-2.0,-2.000000004363807,-4.363807093454852e-09
calliope,2000.0,0.0,-4.174459795499295e-10,-4.174459795499295e-10
calliope,2000.0,2.0,1.9999999195370843,-8.046291566365937e-08
calliope,2000.0,4.0,3.9999999181910533,-8.180894672804584e-08
calliope,2500.0,-2.0,-1.999999998269471,1.7305290533897733e-09
calliope,2500.0,0.0,-9.039458876625358e-06,-9.039458876625358e-06
calliope,2500.0,2.0,1.99999999989422,-1.0578005138484059e-10
calliope,2500.0,4.0,4.000000221527546,2.2152754564075394e-07
calliope,3000.0,-2.0,-1.9999999999126183,8.738165746535742e-11
calliope,3000.0,0.0,-0.0002644213922394017,-0.0002644213922394017
calliope,3000.0,2.0,2.000002380769887,2.3807698870115246e-06
calliope,3000.0,4.0,-5.8426730953359725,-9.842673095335972
atmodeller,1500.0,-2.0,-1.9999999999999893,1.0658141036401503e-14
atmodeller,1500.0,0.0,nan,nan
atmodeller,1500.0,2.0,1.999999999999984,-1.5987211554602254e-14
atmodeller,1500.0,4.0,3.9999999999998854,-1.1457501614131615e-13
atmodeller,2000.0,-2.0,-1.9999999999999725,2.7533531010703882e-14
atmodeller,2000.0,0.0,2.220446049250313e-14,2.220446049250313e-14
atmodeller,2000.0,2.0,1.9999999999999076,-9.237055564881302e-14
atmodeller,2000.0,4.0,4.000000000000097,9.681144774731365e-14
atmodeller,2500.0,-2.0,-1.9999999999999538,4.618527782440651e-14
atmodeller,2500.0,0.0,1.1546319456101628e-14,1.1546319456101628e-14
atmodeller,2500.0,2.0,2.0000000000000364,3.6415315207705135e-14
atmodeller,2500.0,4.0,3.999999999999991,-8.881784197001252e-15
atmodeller,3000.0,-2.0,-2.0000000000000124,-1.2434497875801753e-14
atmodeller,3000.0,0.0,1.3766765505351941e-14,1.3766765505351941e-14
atmodeller,3000.0,2.0,2.0000000000000115,1.1546319456101628e-14
atmodeller,3000.0,4.0,3.9999999999999076,-9.237055564881302e-14
