gas,budget_ppmw,partial_pressure_bar
He,1.0,2.9461971428735936
He,3.0,6.543956244322047
He,10.0,13.776419222234074
He,30.0,29.39610992097408
He,100.0,80.38531996577028
Ne,1.0,0.8887690220634682
Ne,3.0,2.558596053504739
Ne,10.0,7.841983778888922
Ne,30.0,21.64228565837544
Ne,100.0,68.2106578230415
Ar,1.0,0.5571827965452206
Ar,3.0,1.724957984162726
Ar,10.0,6.149892116609557
Ar,30.0,19.81668641021096
Ar,100.0,69.48488329296151
Kr,1.0,0.28276212712083193
Kr,3.0,0.9291825072596224
Kr,10.0,3.842461125353327
Kr,30.0,15.033505201285536
Kr,100.0,62.01393296312101
Xe,1.0,0.1852210462810301
Xe,3.0,0.6236748372891496
Xe,10.0,2.7704086110601764
Xe,30.0,12.230133886676873
Xe,100.0,57.153057545272354

gas,atmospheric_fraction_at_10_ppmw
He,0.860915424077001
Ne,0.8233829463584634
Ar,0.9352907253295288
Kr,0.9568762646296591
Xe,0.9723950920441424
